Target Distance: 50, Step Size: 2
0: (x,y) = (0, 0)
1: (x,y) = (-0.209057, 1.98904)
2: (x,y) = (1.46828, 3.07832)
3: (x,y) = (0.751548, 4.94548)
4: (x,y) = (2.72692, 5.25835)
5: (x,y) = (0.84754, 5.94239)
6: (x,y) = (-1.09305, 5.45855)
7: (x,y) = (0.219066, 3.94913)
8: (x,y) = (-1.41924, 2.80198)
9: (x,y) = (-1.59355, 0.809587)
10: (x,y) = (0.260818, 0.0603735)
11: (x,y) = (2.24135, -0.217973)
12: (x,y) = (4.23374, -0.0436612)
13: (x,y) = (2.61571, -1.21923)
14: (x,y) = (0.652456, -0.837614)
15: (x,y) = (-0.286487, 0.928281)
16: (x,y) = (1.55452, 0.146819)
17: (x,y) = (1.62432, -1.85196)
18: (x,y) = (-0.0139828, -2.99912)
19: (x,y) = (-1.29956, -4.5312)
20: (x,y) = (0.209861, -3.21909)
21: (x,y) = (1.99187, -2.31111)
22: (x,y) = (3.94061, -2.76101)
23: (x,y) = (2.26327, -1.67173)
24: (x,y) = (3.26327, -3.40378)
25: (x,y) = (5.17588, -3.98852)
26: (x,y) = (4.69204, -5.92911)
27: (x,y) = (2.69326, -5.85932)
28: (x,y) = (4.59537, -6.47735)
29: (x,y) = (6.10479, -5.16523)
30: (x,y) = (7.76286, -6.28362)
31: (x,y) = (9.64225, -6.96766)
32: (x,y) = (8.17954, -5.60366)
33: (x,y) = (9.14916, -7.3529)
34: (x,y) = (7.94553, -8.95017)
35: (x,y) = (8.69474, -7.0958)
36: (x,y) = (8.9038, -5.10676)
37: (x,y) = (6.90867, -4.96725)
38: (x,y) = (6.5958, -6.94262)
39: (x,y) = (7.62588, -5.22829)
40: (x,y) = (7.66079, -3.22859)
41: (x,y) = (9.60953, -3.6785)
42: (x,y) = (8.95839, -1.78746)
43: (x,y) = (10.3726, -3.20167)
44: (x,y) = (8.44075, -3.71931)
45: (x,y) = (10.2818, -4.50077)
46: (x,y) = (11.62, -3.01448)
47: (x,y) = (9.82243, -3.89123)
48: (x,y) = (10.9408, -5.5493)
49: (x,y) = (12.2791, -7.03559)
50: (x,y) = (10.29, -7.24465)
51: (x,y) = (12.0393, -6.27503)
52: (x,y) = (11.7955, -4.28994)
53: (x,y) = (13.7443, -4.73984)
54: (x,y) = (14.5257, -6.58085)
55: (x,y) = (13.7443, -4.73984)
56: (x,y) = (11.8532, -4.0887)
57: (x,y) = (13.8338, -3.81036)
58: (x,y) = (13.4865, -1.84074)
59: (x,y) = (12.2552, -0.264718)
60: (x,y) = (13.8312, -1.49604)
61: (x,y) = (15.8202, -1.28698)
62: (x,y) = (14.0382, -0.379003)
63: (x,y) = (14.0382, -2.379)
64: (x,y) = (12.0628, -2.06613)
65: (x,y) = (11.647, -4.02243)
66: (x,y) = (10.2577, -2.58375)
67: (x,y) = (12.1487, -3.23489)
68: (x,y) = (11.6311, -1.30303)
69: (x,y) = (9.91676, -2.33311)
70: (x,y) = (11.6827, -1.39417)
71: (x,y) = (13.321, -2.54132)
72: (x,y) = (11.6827, -1.39417)
73: (x,y) = (10.6526, 0.320167)
74: (x,y) = (10.7224, -1.67861)
75: (x,y) = (12.2545, -0.393039)
76: (x,y) = (13.0997, -2.20565)
77: (x,y) = (11.1024, -2.10098)
78: (x,y) = (12.6119, -0.788865)
79: (x,y) = (10.7325, -1.47291)
80: (x,y) = (8.83036, -2.09094)
81: (x,y) = (7.46637, -3.55365)
82: (x,y) = (7.95021, -1.61306)
83: (x,y) = (8.08972, -3.60818)
84: (x,y) = (7.30826, -5.44919)
85: (x,y) = (9.23078, -4.89792)
86: (x,y) = (9.23078, -6.89792)
87: (x,y) = (10.4064, -5.27988)
88: (x,y) = (12.2607, -4.53067)
89: (x,y) = (14.1151, -3.78146)
90: (x,y) = (13.5975, -5.71331)
91: (x,y) = (11.8482, -6.68293)
92: (x,y) = (11.7087, -8.67806)
93: (x,y) = (9.75996, -9.12796)
94: (x,y) = (10.8198, -7.43186)
95: (x,y) = (9.24378, -6.20054)
96: (x,y) = (7.90552, -7.68683)
97: (x,y) = (6.75836, -6.04853)
98: (x,y) = (4.76323, -5.90901)
99: (x,y) = (6.73285, -6.25631)
100: (x,y) = (5.34353, -4.81763)
101: (x,y) = (7.33258, -4.60857)
102: (x,y) = (5.71454, -3.433)
103: (x,y) = (7.70693, -3.60731)
104: (x,y) = (7.35964, -5.57693)
105: (x,y) = (5.97032, -4.13825)
106: (x,y) = (6.28319, -6.11363)
107: (x,y) = (7.88046, -4.91)
108: (x,y) = (8.08952, -6.89904)
109: (x,y) = (8.53942, -4.9503)
110: (x,y) = (10.0488, -6.26242)
111: (x,y) = (10.8303, -4.42141)
112: (x,y) = (12.7622, -4.93905)
113: (x,y) = (10.7868, -4.62618)
114: (x,y) = (12.7355, -5.07608)
115: (x,y) = (13.4196, -6.95546)
116: (x,y) = (12.1074, -5.44605)
117: (x,y) = (12.4891, -7.4093)
118: (x,y) = (14.1852, -6.34946)
119: (x,y) = (16.1702, -6.5932)
120: (x,y) = (18.1265, -7.00902)
121: (x,y) = (19.7238, -8.21265)
122: (x,y) = (20.4405, -6.34549)
123: (x,y) = (19.6591, -8.1865)
124: (x,y) = (18.7823, -9.98409)
